Coefficients,Binary,
-10.401642,1111111111110110,111111110110
-2.759351,1111111111111101,111111111101
11.805656,0000000000001011,000000001011
16.051159,0000000000010000,000000010000
1.397476,0000000000000001,000000000001
-17.270957,1111111111101111,111111101111
-13.401327,1111111111110011,111111110011
18.543853,0000000000010010,000000010010
44.036759,0000000000101100,000000101100
13.604402,0000000000001101,000000001101
-79.054921,1111111110110001,111110110001
-159.487421,1111111101100001,111101100001
-105.066175,1111111110010111,111110010111
160.252751,0000000010100000,000010100000
580.863409,0000001001000100,001001000100
973.473239,0000001111001101,001111001101
1133.887377,0000010001101101,010001101101
973.473239,0000001111001101,001111001101
580.863409,0000001001000100,001001000100
160.252751,0000000010100000,000010100000
-105.066175,1111111110010111,111110010111
-159.487421,1111111101100001,111101100001
-79.054921,1111111110110001,111110110001
13.604402,0000000000001101,000000001101
44.036759,0000000000101100,000000101100
18.543853,0000000000010010,000000010010
-13.401327,1111111111110011,111111110011
-17.270957,1111111111101111,111111101111
1.397476,0000000000000001,000000000001
16.051159,0000000000010000,000000010000
11.805656,0000000000001011,000000001011
-2.759351,1111111111111101,111111111101
-10.401642,1111111111110110,111111110110
